name,abbrv,color,affiliation,coauthored
Kai Zheng,K. Zheng,#ffc0cb,none,1
Eytan Adar,E. Adar,#ffc0cb,University of Michigan,1
Boleslaw Szymanski,B. Szymanski,#32CD32,none,1
Jingrui He,J. He,#32CD32,Arizona State University,1
Hanghang Tong,H. Tong,#32CD32,Arizona State University,1
Kameswari Chebrolu,K. Chebrolu,#00bfff,IIT Bombay,1
Bhaskaran Raman,B. Raman,#00bfff,IIT Bombay,1
Samik Basu,S. Basu,#32CD32,Iowa State University,1
Tevfik Bultan,T. Bultan,#00bfff,University of California - Santa Barbara,1
Andrew Miner,A. Miner,#d3d3d3,none,1
Hridesh Rajan,H. Rajan,#00bfff,Iowa State University,1
Moira Norrie,M. Norrie,#ffc0cb,none,1
Michael Nebeling,M. Nebeling,#ffc0cb,University of Michigan,1
Eric Mercer,E. Mercer,#d3d3d3,Brigham Young University,1
Jay McCarthy,J. McCarthy,#32CD32,University of Massachusetts Lowell,1
Vivek Sarkar,V. Sarkar,#00bfff,Georgia Institute of Technology,1
Isabelle Augenstein,I. Augenstein,#32CD32,University of Copenhagen,1
Sebastian Riedel,S. Riedel,#32CD32,University College London,1
Anders Søgaard,A. Søgaard,#32CD32,University of Copenhagen,1
Zeyar Aung,Z. Aung,#ffc0cb,Masdar Institute,1
See-Kiong Ng,S. Ng,#32CD32,National University of Singapore,1
Wing-Kin Sung,W. Sung,#ffc0cb,National University of Singapore,1
Amiya Nayak,A. Nayak,#d3d3d3,University of Ottawa,0
Ronald DeMara,R. DeMara,#00bfff,none,0
Krzysztof Czarnecki,K. Czarnecki,#00bfff,University of Waterloo,1
Eric Blais,E. Blais,#ffff00,University of Waterloo,1
Sven Apel,S. Apel,#00bfff,University of Passau,1
Andrzej Wasowski,A. Wasowski,#00bfff,IT University of Copenhagen,1
Joanne Atlee,J. Atlee,#00bfff,none,1
Derek Rayside,D. Rayside,#00bfff,University of Waterloo,1
Yingfei Xiong,Y. Xiong,#00bfff,Peking University,1
Christian Kästner,C. Kästner,#00bfff,Carnegie Mellon University,1
Sarah Nadi,S. Nadi,#00bfff,University of Alberta,1
Vijay Ganesh,V. Ganesh,#00bfff,University of Waterloo,1
Pascal Poupart,P. Poupart,#32CD32,University of Waterloo,1
Ross Tate,R. Tate,#00bfff,Cornell University,1
William Griswold,W. Griswold,#ffc0cb,none,1
Zachary Tatlock,Z. Tatlock,#00bfff,University of Washington,1
Hovav Shacham,H. Shacham,#00bfff,University of Texas at Austin,1
Lawrence Saul,L. Saul,#32CD32,none,1
Yuvraj Agarwal,Y. Agarwal,#00bfff,Carnegie Mellon University,1
Violet Syrotiuk,V. Syrotiuk,#d3d3d3,none,1
Eric Fleury,E. Fleury,#d3d3d3,Ecole Normale Superieure de Lyon,1
Gady Agam,G. Agam,#32CD32,Illinois Institute of Technology,0
Stefan Katzenbeisser,S. Katzenbeisser,#00bfff,none,1
Kevin Hamlen,K. Hamlen,#00bfff,none,1
Somesh Jha,S. Jha,#00bfff,University of Wisconsin - Madison,1
Marc Fischlin,M. Fischlin,#ffff00,TU Darmstadt,1
Reginald Lagendijk,R. Lagendijk,#d3d3d3,none,1
Zekeriya Erkin,Z. Erkin,#d3d3d3,TU Delft,1
Xiuli Ma,X. Ma,#32CD32,Peking University,1
Xiujuan Chai,X. Chai,#32CD32,Chinese Academy of Sciences,1
Xilin Chen,X. Chen,#32CD32,Chinese Academy of Sciences,1
Shiguang Shan,S. Shan,#32CD32,Institute of Computing Technology,1
Xin Liu,X. Liu,#32CD32,University of California - Davis,1
Seungmoon Choi,S. Choi,#ffc0cb,POSTECH,1
Bohyung Han,B. Han,#32CD32,POSTECH,1
Simha Sethumadhavan,S. Sethumadhavan,#00bfff,Columbia University,1
Salvatore Stolfo,S. Stolfo,#00bfff,none,1
Franziska Roesner,F. Roesner,#00bfff,University of Washington,1
Peter Allen,P. Allen,#ffc0cb,none,1
Karthikeyan Sankaralingam,K. Sankaralingam,#00bfff,University of Wisconsin - Madison,1
Paul Gratz,P. Gratz,#00bfff,Texas A&M University,1
Vasileios Kemerlis,V. Kemerlis,#00bfff,none,1
Tony Jebara,T. Jebara,#32CD32,Columbia University,1
Jonathan Bell,J. Bell,#00bfff,none,1
Gail Kaiser,G. Kaiser,#00bfff,none,1
Anupam Chattopadhyay,A. Chattopadhyay,#00bfff,Nanyang Technological University,0
Jayme Szwarcfiter,J. Szwarcfiter,#ffff00,none,1
Min Lin,M. Lin,#ffff00,none,1
P. Fletcher,P. Fletcher,#32CD32,none,1
Suresh Venkatasubramanian,S. Venkatasubramanian,#32CD32,University of Utah,1
Suyash Awate,S. Awate,#32CD32,none,1
Miaomiao Zhang,M. Zhang,#32CD32,Washington University in St. Louis,1
Won-Ki Jeong,W. Jeong,#ffc0cb,UNIST,1
Ross Whitaker,R. Whitaker,#ffc0cb,none,1
Nicolas Markey,N. Markey,#ffff00,Ecole Normale Superieure de Cachan,1
Joël Ouaknine,J. Ouaknine,#ffff00,Max Planck Institute,1
Patricia Bouyer,P. Bouyer,#ffff00,Ecole Normale Superieure de Cachan,1
James Worrell,J. Worrell,#ffff00,none,1
Sivan Toledo,S. Toledo,#32CD32,Tel Aviv University,1
Oded Schwartz,O. Schwartz,#00bfff,Hebrew University of Jerusalem,1
James Demmel,J. Demmel,#00bfff,University of California - Berkeley,1
Yves Robert,Y. Robert,#00bfff,Ecole Normale Superieure de Lyon,1
Richard Wolski,R. Wolski,#00bfff,University of California - Santa Barbara,1
Theo Mary,T. Mary,#00bfff,Ecole Normale Superieure de Lyon,1
Manish Parashar,M. Parashar,#00bfff,Rutgers University,1
Hyesoon Kim,H. Kim,#00bfff,Georgia Institute of Technology,1
Onur Mutlu,O. Mutlu,#00bfff,ETH Zurich,1
Richard Vuduc,R. Vuduc,#00bfff,none,1
Taesoo Kim,T. Kim,#00bfff,Georgia Institute of Technology,1
Nancy Day,N. Day,#00bfff,none,0
Theoharis Theoharis,T. Theoharis,#32CD32,University of Athens,1
Stefanos Zafeiriou,S. Zafeiriou,#32CD32,Imperial College London,1
Ítalo Cunha,Í. Cunha,#00bfff,UFMG,1
Nick Feamster,N. Feamster,#00bfff,Princeton University,1
Harsha Madhyastha,H. Madhyastha,#00bfff,none,1
Ethan Katz-Bassett,E. Katz-Bassett,#00bfff,Columbia University,1
David Choffnes,D. Choffnes,#00bfff,none,1
Arvind Krishnamurthy,A. Krishnamurthy,#00bfff,University of Washington,1
Thomas Anderson,T. Anderson,#00bfff,none,1
Phillipa Gill,P. Gill,#00bfff,University of Massachusetts Amherst,1
Zhenhua Liu,Z. Liu,#00bfff,Stony Brook University,1
Steven Low,S. Low,#00bfff,none,1
Mosharaf Chowdhury,M. Chowdhury,#00bfff,University of Michigan,1
